TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern1,5,0.6312306,1.237583,0.6906165,66.16841,0,False,0.4339918,0,0,0,0,0,0
2,Pattern2,16,0.1137205,3.238407,0.3500137,28.59052,0,False,0.3182169,0,0,0,0,0,0
3,Pattern3,32,0.02442673,8.863061,0.2128962,17.68176,0,False,0.1949995,0,0,0,0,0,0
4,Pattern4,48,0.003066942,32.83429,0.100088,8.155778,0,False,0.09875791,0,0,0,0,0,0
5,Pattern5,64,0.03953974,2.086637,0.07804871,6.000036,0,False,0.06647323,0,0,0,0,0,0
6,Pattern6,96,0.2914613,0.7876462,0.1221903,11.10234,0,False,0.05051424,0,0,0,0,0,0
7,Pattern7,112,0.09811059,0.7336987,0.05435047,6.524306,0,True,0.04310972,0,0,0,0,0,0
8,Pattern8,128,0.3631617,0.2223881,0.0756008,8.487646,0,False,0.05934722,0,0,0,0,0,0
9,Pattern9,144,0.3252878,0.5053771,0.1249884,12.25108,0,False,0.1114482,0,0,0,0,0,0
10,Pattern10,155,0.1314015,0.2668681,0.06618136,8.027801,0,False,0.09648917,0,0,0,0,0,0
