TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern8,128,0.269516,1.20731,0.3045801,22.4281,6638.593,False,0.0631725,1090.158,26,0,0,0,0
2,Pattern4,48,0.3349931,0.6582522,0.1512409,10.92277,16187.29,False,0.1112385,3902.083,9,0,0,0,0
3,Pattern3,32,0.3919501,0.8301807,0.2079172,15.25163,20678.9,False,0.05681103,4947.175,11,0,0,0,0
4,Pattern7,112,0.06359501,3.46741,0.1831724,13.24546,2793.719,False,0.1587465,448.7821,14,0,0,0,0
5,Pattern2,16,0.0522753,8.159484,0.4157233,31.3126,5542.265,False,0.4224842,1231.311,18,0,0,0,0
6,Pattern1,5,0.5594057,0.8705833,0.2864707,21.8401,27567.35,True,0.03460936,6063.209,11,0,0,0,0
7,Pattern6,96,0.2577217,0.4320108,0.112868,8.117416,6865.496,False,0.1452129,1508.514,19,0,0,0,0
8,Pattern9,144,0.2556174,1.658477,0.3637503,27.25339,5391.272,False,0.1893703,1206.977,19,0,0,0,0
9,Pattern5,64,0.03119245,3.569404,0.09459881,6.791739,4993.641,False,0.08570749,1115.562,13,0,0,0,0
10,Pattern10,155,0.5584895,0.8720114,0.23342,17.74391,12044.94,True,0.03489559,2602.189,27,0,0,0,0
