TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern7,112,0.1731502,1.273519,0.1195803,8.642928,6570.272,False,0.05021808,1222.548,21,0,0,0,0
2,Pattern3,32,0.317053,1.026294,0.1957797,14.35269,14006.33,True,0.02855543,4170.806,23,0,0,0,0
3,Pattern5,64,0.05284245,2.106989,0.07593673,5.449442,9931.218,False,0.05880535,1839.648,4,0,0,0,0
4,Pattern4,48,0.01141892,19.31092,0.2163296,15.68898,3292.627,False,0.2126602,450.4308,6,0,0,0,0
5,Pattern1,5,0.4612583,1.056084,0.2126178,16.00587,28249.76,False,0.08045827,6270.33,15,0,0,0,0
6,Pattern10,155,0.4810431,1.012403,0.2893435,21.90735,14910.07,True,0.04253023,3270.829,31,0,0,0,0
7,Pattern2,16,0.4384115,0.9669808,0.2602146,19.53812,21796.84,True,0.04567568,3665.582,20,0,0,0,0
8,Pattern9,144,0.5462247,0.7761194,0.3729538,27.97434,49538.12,False,0.2812791,6865.244,28,0,0,0,0
9,Pattern8,128,0.5313869,0.6114388,0.2375206,17.40255,15200.68,False,0.1948355,2580.829,33,0,0,0,0
10,Pattern6,96,0.1895914,0.5872552,0.08262368,5.930368,7927.811,False,0.0777686,2184.679,18,0,0,0,0
