TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern4,48,0.6022695,0.3661317,0.2638937,19.35152,19459.47,False,0.2838115,3595.582,27,0,0,0,0
2,Pattern5,64,0.5707425,0.2163489,0.2468966,18.39063,21414.28,False,0.4239355,3884.504,22,0,0,0,0
3,Pattern2,16,0.6981577,0.7668064,0.2029731,15.24283,103765,False,0.1113385,10636.57,20,0,0,0,0
4,Pattern1,5,0.5478882,0.8734485,0.2159713,16.26073,85146.27,True,0.03489552,8568.861,41,0,0,0,0
5,Pattern9,144,0.1283208,3.303717,0.424528,32.06214,13660.76,False,0.3535847,2150.057,31,0,0,0,0
6,Pattern8,128,1.665759,0.1900095,0.2928358,22.91075,27139.63,False,0.7190354,4669.627,60,0,0,0,0
7,Pattern7,112,0.4008596,0.5500928,0.1757087,12.73037,7598.876,False,0.1406899,1323.028,45,0,0,0,0
8,Pattern10,155,0.7942346,0.6146439,0.5913401,49.06421,15368.81,False,0.5696589,2613.47,54,0,0,0,0
9,Pattern6,96,0.3180386,0.3499862,0.1073476,7.718671,15547.05,False,0.1149042,2221.632,42,0,0,0,0
10,Pattern3,32,0.3991432,0.436832,0.2069592,15.01072,727519.4,False,0.2205099,63880.89,9,0,0,0,0
