Timestamp,TargetElbowAngle,TargetPosX,TargetPosZ,ActualPosX,ActualPosZ,ActualElbowAngle,PositionError,JointSpaceError,ElbowVel,ElbowJerk,PathLength,OptimalPathLength,PathEfficiency
0.0144043,112,-0.1318736,0.09515738,-0.1545317,0.3166443,79.68205,0.2226429,16.15897,-1864.339,-205394.5,0.002219733,0.22051,99.34077
0.02929688,112,-0.1318736,0.09515738,-0.1540199,0.3194008,79.28046,0.2253343,16.35977,-26.98738,163114.9,0.00502329,0.22051,43.89752
0.04589844,112,-0.1318736,0.09515738,-0.1534572,0.3223139,78.85548,0.2281796,16.57226,-25.7481,-567.7776,0.007990255,0.22051,27.59736
0.06005859,112,-0.1318736,0.09515738,-0.1527904,0.3256249,78.37168,0.2314148,16.81416,-33.86783,-278.6114,0.0113678,0.22051,19.39778
0.06958008,112,-0.1318736,0.09515738,-0.1521721,0.3285729,77.94022,0.2342965,17.02989,-45.00115,-1192.822,0.01437992,0.22051,15.33458
0.08227539,112,-0.1318736,0.09515738,-0.1517299,0.3306167,77.64071,0.236295,17.17965,-23.7967,-4744.034,0.01647094,0.22051,13.38782
0.09838867,112,-0.1318736,0.09515738,-0.1511103,0.3333969,77.23269,0.2390149,17.38366,-25.4006,1145.966,0.0193194,0.22051,11.41391
0.111084,112,-0.1318736,0.09515738,-0.1502567,0.3370829,76.69074,0.2426229,17.65463,-42.16333,709.4775,0.02310289,0.22051,9.544691
0.1252441,112,-0.1318736,0.09515738,-0.1495175,0.3401539,76.23829,0.245631,17.88086,-31.99496,-2458.763,0.02626162,0.22051,8.396662
0.1391602,112,-0.1318736,0.09515738,-0.1486394,0.34367,75.71918,0.2490775,18.14041,-37.62086,509.5451,0.02988568,0.22051,7.378448
0.1533203,112,-0.1318736,0.09515738,-0.1477149,0.3472333,75.19187,0.2525732,18.40406,-37.5085,-192.092,0.03356697,0.22051,6.569254
0.1677246,112,-0.1318736,0.09515738,-0.1466992,0.3510011,74.63291,0.2562729,18.68354,-38.44582,-39.78617,0.03746927,0.22051,5.885088
0.1850586,112,-0.1318736,0.09515738,-0.145566,0.3550411,74.03188,0.2602442,18.98406,-34.95428,77.87609,0.04166524,0.22051,5.29242
0.1975098,112,-0.1318736,0.09515738,-0.1441156,0.3599893,73.29327,0.2651147,19.35336,-58.25776,853.4245,0.04682161,0.22051,4.709577
0.2128906,112,-0.1318736,0.09515738,-0.1429638,0.3637592,72.72864,0.2688306,19.63568,-36.8783,-2415.41,0.0507635,0.22051,4.343868
0.2226563,112,-0.1318736,0.09515738,-0.1414726,0.3684534,72.02312,0.2734645,19.98844,-71.66425,1554.289,0.05568887,0.22051,3.959677
0.2346191,112,-0.1318736,0.09515738,-0.1404504,0.3715601,71.55465,0.2765358,20.22268,-39.25387,-5312.043,0.05895948,0.22051,3.740026
0.2507324,112,-0.1318736,0.09515738,-0.1391374,0.3754309,70.96917,0.2803676,20.51542,-36.42357,2501.426,0.06304687,0.22051,3.497556
0.2634277,112,-0.1318736,0.09515738,-0.1372518,0.3807742,70.15754,0.2856674,20.92123,-64.76927,2115.388,0.0687131,0.22051,3.20914
0.2773438,112,-0.1318736,0.09515738,-0.1356867,0.3850355,69.50729,0.2899031,21.24636,-46.4334,-1783.022,0.07325271,0.22051,3.010264
0.2932129,112,-0.1318736,0.09515738,-0.1338324,0.3899004,68.76152,0.2947495,21.61924,-47.20544,1023.288,0.07845906,0.22051,2.81051
0.3054199,112,-0.1318736,0.09515738,-0.1316192,0.3954709,67.90292,0.3003137,22.04854,-69.24564,1773.056,0.08445317,0.22051,2.611033
0.3200684,112,-0.1318736,0.09515738,-0.1297962,0.3998854,67.21879,0.3047352,22.39061,-46.73643,211.7481,0.08922929,0.22051,2.471274
0.3325195,112,-0.1318736,0.09515738,-0.1275535,0.4051207,66.40298,0.3099934,22.79851,-65.91295,1946.93,0.09492468,0.22051,2.322999
0.3486328,112,-0.1318736,0.09515738,-0.1255891,0.4095445,65.70965,0.3144499,23.14518,-43.34064,1222.917,0.099765,0.22051,2.210294
0.3615723,112,-0.1318736,0.09515738,-0.1229706,0.4152275,64.81335,0.3201939,23.59332,-68.76951,1394.421,0.1060222,0.22051,2.079846
0.3771973,112,-0.1318736,0.09515738,-0.1207821,0.4198053,64.08654,0.3248374,23.95673,-46.68763,1598.279,0.1110963,0.22051,1.984854
0.3881836,112,-0.1318736,0.09515738,-0.1181186,0.4251844,63.22674,0.3303136,24.38663,-76.97941,918.3238,0.1170987,0.22051,1.883111
0.4033203,112,-0.1318736,0.09515738,-0.116187,0.4289629,62.61891,0.3341739,24.69055,-40.25603,3406.813,0.1213423,0.22051,1.817256
0.4194336,112,-0.1318736,0.09515738,-0.1135662,0.433937,61.81356,0.3392739,25.09322,-50.50554,-49.46232,0.1269646,0.22051,1.736783
0.4316406,112,-0.1318736,0.09515738,-0.1107961,0.4390175,60.98468,0.3445055,25.50766,-67.07175,837.0435,0.1327512,0.22051,1.661077
0.4450684,112,-0.1318736,0.09515738,-0.1086602,0.4428194,60.36004,0.3484361,25.81998,-46.9863,2510.605,0.1371121,0.22051,1.608246
0.4584961,112,-0.1318736,0.09515738,-0.1063871,0.4467618,59.70819,0.352527,26.14591,-47.98672,-172.8439,0.1416628,0.22051,1.556583
0.4741211,112,-0.1318736,0.09515738,-0.1040864,0.4506498,59.06108,0.3565767,26.46946,-41.57046,-814.1042,0.1461805,0.22051,1.508478
0.486084,112,-0.1318736,0.09515738,-0.1014698,0.4549534,58.33962,0.3610784,26.83019,-60.54314,-1278.426,0.1512172,0.22051,1.458234
0.4995117,112,-0.1318736,0.09515738,-0.09948266,0.4581422,57.80143,0.3644271,27.09929,-40.18523,1382.467,0.1549744,0.22051,1.42288
0.5153809,112,-0.1318736,0.09515738,-0.09726828,0.4616189,57.21099,0.3680918,27.3945,-37.01416,-1408.905,0.1590964,0.22051,1.386015
0.5285645,112,-0.1318736,0.09515738,-0.09464389,0.4656396,56.52324,0.3723481,27.73838,-51.93705,-1225.964,0.1638978,0.22051,1.345411
0.5422363,112,-0.1318736,0.09515738,-0.09247354,0.4688869,55.96376,0.3758007,28.01812,-40.80841,336.0742,0.1678037,0.22051,1.314095
