TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern5,64,0.5624819,0.1979414,0.165273,12.33722,18482.16,False,0.420535,4604.864,3,0,0,0,0
2,Pattern6,96,0.1772251,0.6282325,0.09442843,6.782094,15181.36,False,0.1385298,3042.687,5,0,0,0,0
3,Pattern4,48,0.2673431,0.8248199,0.1489948,10.75873,14019.85,True,0.04392342,3546.307,4,0,0,0,0
4,Pattern1,5,0.5584935,0.8720052,0.2970772,22.44754,12898.69,True,0.03489552,3985.315,4,0,0,0,0
5,Pattern7,112,0.1900139,1.160494,0.2704875,19.85877,43117.64,False,0.3898042,4685.045,3,0,0,0,0
6,Pattern3,32,0.5256146,0.6190646,0.2261944,16.5074,16421.33,False,0.1887374,4178.872,2,0,0,0,0
7,Pattern9,144,0.2735008,1.550034,0.4780678,36.74586,15319.15,False,0.541652,4223.848,8,0,0,0,0
8,Pattern2,16,0.1830896,2.185229,0.3547015,26.40806,15710.18,False,0.2324922,3662.371,5,0,0,0,0
9,Pattern8,128,0.7446964,0.4369424,0.4653285,36.62765,30935.6,False,0.7190354,7291.521,6,0,0,0,0
10,Pattern10,155,1.266244,0.3848886,0.463317,37.21966,22635.34,True,0.03489559,6208.239,7,0,0,0,0
