TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern10,155,0.3976431,1.225198,0.3021029,22.58548,8966.419,False,0.1256611,2652.174,37,0,0,0,0
2,Pattern1,5,0.4477345,1.087719,0.3564675,26.89783,33060.46,False,0.07761842,3455.88,47,0,0,0,0
3,Pattern4,48,0.3306985,0.6668006,0.1431354,10.33829,5926.881,False,0.1069787,1787.871,31,0,0,0,0
4,Pattern7,112,0.09583339,2.300972,0.1541787,11.12738,10716.76,False,0.1287593,1511.032,9,0,0,0,0
5,Pattern5,64,0.0968282,1.149856,0.05106465,3.663821,65447.29,True,0.01487193,6200.672,22,0,0,0,0
6,Pattern8,128,0.2264383,1.43699,0.2115061,15.41646,6112.511,False,0.1083308,1732.49,28,0,0,0,0
7,Pattern3,32,0.4117897,0.7901834,0.3170899,23.42175,19878.53,False,0.5219634,3149.033,33,0,0,0,0
8,Pattern9,144,0.4184909,1.01301,0.2741341,20.3274,5882.063,True,0.03408223,1979.375,45,0,0,0,0
9,Pattern2,16,0.09012426,4.703899,0.41122,30.9385,37900.53,False,0.3678344,3132.392,28,0,0,0,0
10,Pattern6,96,0.1435781,0.7973704,0.04337528,3.111052,6234.21,True,0.02732239,1768.292,21,0,0,0,0
