TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern4,48,0.1182676,1.850923,0.2159081,15.66015,55721.62,False,0.2209473,4863.804,28,0,0,0,0
2,Pattern7,112,0.3644872,0.6049869,0.1951657,14.1451,18281.11,False,0.1042564,4463.856,29,0,0,0,0
3,Pattern9,144,0.55301,0.7665965,0.4277553,32.39767,22734.16,False,0.3904432,5306.321,44,0,0,0,0
4,Pattern2,16,0.4863454,0.8716758,0.3069756,22.99471,17346.44,True,0.03940911,3235.328,27,0,0,0,0
5,Pattern6,96,0.4178622,0.266448,0.104167,7.492547,35374.33,True,0.04673995,6310.7,30,0,0,0,0
6,Pattern5,64,0.5478045,0.1909025,0.1655377,11.98126,41670.45,False,0.2073624,8808.404,25,0,0,0,0
7,Pattern10,155,0.3937398,1.236881,0.4157953,31.51109,45078.95,False,0.3680274,5865.008,32,0,0,0,0
8,Pattern1,5,0.5916269,0.8231696,0.3331859,25.38941,27735.08,True,0.03489552,6020.685,26,0,0,0,0
9,Pattern3,32,0.5578369,0.5822205,0.2032842,14.79427,19137.29,False,0.2205099,3868.651,39,0,0,0,0
10,Pattern8,128,0.6144914,0.5295264,0.1847076,13.4318,25945.19,False,0.2205099,6730.925,35,0,0,0,0
