TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern8,128,0.3380995,0.9624072,0.3808677,28.48365,11054.7,False,0.3889293,2949.503,28,0,0,0,0
2,Pattern3,32,0.5584642,0.5826504,0.2436016,17.79816,52645.86,False,0.2205099,5716.288,14,0,0,0,0
3,Pattern1,5,0.5584852,0.8720182,0.2025471,15.35234,20404.33,True,0.03489552,4299.517,20,0,0,0,0
4,Pattern2,16,0.2070781,2.047225,0.3383138,25.169,67644.35,False,0.2371826,5613.328,23,0,0,0,0
5,Pattern4,48,0.1602885,1.375706,0.2394428,17.42715,8573.798,False,0.2108557,2173.442,22,0,0,0,0
6,Pattern10,155,0.334507,1.455902,0.535403,42.16818,11073.28,False,0.5095832,3204.705,27,0,0,0,0
7,Pattern5,64,0.009924408,11.21865,0.1142695,8.212115,3169.035,False,0.114376,488.5264,8,0,0,0,0
8,Pattern7,112,0.00826564,26.67791,0.2248239,16.3219,3523.385,False,0.2284435,513.6113,3,0,0,0,0
9,Pattern6,96,0.1202641,0.9257835,0.07635316,5.483489,12557.24,True,0.008563083,2487.649,18,0,0,0,0
10,Pattern9,144,0.1622131,2.613448,0.3389855,25.18676,11653.33,False,0.2786259,2007.698,15,0,0,0,0
