TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern2,16,0.8116803,0.5504283,0.3007915,22.9196,109172.1,True,0.01403471,11273.95,40,0,0,0,0
2,Pattern1,5,0.5808997,0.8301609,0.1719309,12.89068,122390.5,True,0.008569555,12933.13,20,0,0,0,0
3,Pattern9,144,0.1920931,2.26701,0.41533,31.35337,46893.62,False,0.3824652,4779.649,25,0,0,0,0
4,Pattern10,155,0.2443383,2.12925,0.460453,35.39498,9940.795,False,0.3366968,1826.963,29,0,0,0,0
5,Pattern6,96,0.09016649,1.342174,0.1151059,8.273451,26086.06,False,0.1519383,2721.045,24,0,0,0,0
6,Pattern7,112,0.6426844,0.3575814,0.2303862,16.78957,20702,False,0.2826672,3867.713,40,0,0,0,0
7,Pattern8,128,0.1759661,1.848345,0.3494701,25.91612,10226.7,False,0.2913271,2330.945,22,0,0,0,0
8,Pattern3,32,0.6358569,0.498112,0.1556136,11.4793,227839.3,True,0.04582985,19048.16,41,0,0,0,0
9,Pattern4,48,0.5584885,0.3948334,0.220367,16.15699,41538,False,0.3253894,6138.97,23,0,0,0,0
10,Pattern5,64,0.5599229,0.1939146,0.2635691,19.73036,30510.43,False,0.4224506,5771.196,27,0,0,0,0
