TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern9,144,0.757279,0.5595343,0.3229569,24.24397,17967.71,False,0.1113385,4539.411,42,0,0,0,0
2,Pattern2,16,0.6308192,0.6720396,0.3833517,29.04687,34851.55,False,0.1113385,4721.64,25,0,0,0,0
3,Pattern7,112,0.4501014,0.4899117,0.1607071,11.61352,13733.85,False,0.1787279,2297.649,38,0,0,0,0
4,Pattern10,155,0.5584998,0.8719953,0.3628677,27.57239,16478.95,True,0.03489559,2988.863,37,0,0,0,0
5,Pattern6,96,0.1954504,0.7858312,0.09850897,7.089746,6077.3,True,0.04088251,1225.142,35,0,0,0,0
6,Pattern1,5,0.5903385,0.8355967,0.3167979,24.19236,13013.95,True,0.03489552,3171.248,29,0,0,0,0
7,Pattern3,32,0.5731344,0.5455924,0.2629625,19.26909,17368.71,False,0.2205099,3483.5,21,0,0,0,0
8,Pattern5,64,0.1461407,0.7781722,0.114976,8.269807,13747.95,True,0.04123082,2159.824,16,0,0,0,0
9,Pattern8,128,0.4512995,0.7008819,0.2269501,16.68231,10004.16,False,0.06432489,2310.51,34,0,0,0,0
10,Pattern4,48,0.191728,1.125154,0.1710559,12.36471,3990.449,False,0.1371459,1308.726,28,0,0,0,0
