TrialNumber,PatternName,TargetJoint1,TargetJoint2,MovementTime,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,Completed
1,Pattern1,42,118,4.003195,0,746.6212,0.7466137,80,0,True
2,Pattern2,-12,24,4.001657,0,233.2968,0.2332982,18,0,True
3,Pattern3,68,155,4.001413,0,804.6857,0.8046874,111.5,0,True
4,Pattern4,0,92,4.001373,0,575.4719,0.5754731,46,0,True
5,Pattern5,-22,47,4.00218,0,424.4356,0.4244383,34.5,0,True
6,Pattern6,55,103,4.003685,1.037767,0.7485831,0.5783781,57.86794,0,True
7,Pattern7,18,5,4.001705,1.573826,0.1604244,0.06466687,3.598034,0,True
8,Pattern8,-5,129,4.002251,0.8749356,0.8259959,0.7261404,70.69309,0,True
9,Pattern9,31,81,4.001804,1.235109,0.4962367,0.2442789,21.18844,0,True
10,Pattern10,70,14,4.000904,1.200877,0.3939926,0.05575025,3.843249,0,True
