TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern6,96,0.3619848,0.3094192,0.1420691,10.26359,79622.89,False,0.2455954,9324.66,11,0,0,0,0
2,Pattern2,16,0.4241603,0.9994699,0.3675416,27.54828,26548.58,False,0.2900279,5185.161,20,0,0,0,0
3,Pattern10,155,0.5584881,0.8720136,0.2969699,22.47195,340023.9,True,0.03489559,33799.01,20,0,0,0,0
4,Pattern5,64,0.5584875,0.1993571,0.2962334,22.1868,24985.76,False,0.4239355,3873.839,18,0,0,0,0
5,Pattern4,48,0.4924903,0.4477447,0.2233837,16.25328,17632.59,False,0.2640598,3529.735,17,0,0,0,0
6,Pattern1,5,0.5584785,0.8720286,0.2339261,17.77086,75327.79,True,0.03489552,9460.539,18,0,0,0,0
7,Pattern7,112,0.5584894,0.3948328,0.2382231,17.43833,52499.77,False,0.3253894,7007.438,24,0,0,0,0
8,Pattern9,144,0.2067036,2.050935,0.3417353,25.48711,15695.2,False,0.2375161,2895.832,14,0,0,0,0
9,Pattern3,32,0.570491,0.5895502,0.2454998,17.95349,263351.8,False,0.2205099,21931.75,14,0,0,0,0
10,Pattern8,128,0.5381712,0.6046206,0.249584,18.26416,18730.15,False,0.2009266,4304.03,17,0,0,0,0
