Timestamp,TargetElbowAngle,TargetPosX,TargetPosZ,ActualPosX,ActualPosZ,ActualElbowAngle,PositionError,JointSpaceError,ElbowVel,ElbowJerk,PathLength,OptimalPathLength,PathEfficiency
0.01525879,48,-0.058258,0.5126524,-0.1549518,0.3142968,80.02364,0.2206686,16.01181,-892.4727,9796.897,0.0001650303,0.2205099,220.5099
0.02868652,48,-0.058258,0.5126524,-0.1550387,0.3138012,80.09571,0.2211522,16.04785,5.404576,4020.67,0.0006682043,0.2205099,220.5099
0.04211426,48,-0.058258,0.5126524,-0.1551604,0.3131005,80.19759,0.2218356,16.09879,7.586161,1993.223,0.001379379,0.2205099,159.8617
0.05664063,48,-0.058258,0.5126524,-0.1553274,0.3121263,80.33916,0.222785,16.16959,9.695244,-242.5788,0.00236781,0.2205099,93.12823
0.07043457,48,-0.058258,0.5126524,-0.1555547,0.3107769,80.53519,0.2240991,16.26759,14.22418,-1299.362,0.003736298,0.2205099,59.0183
0.0838623,48,-0.058258,0.5126524,-0.1558093,0.3092314,80.75954,0.2256022,16.37978,16.66513,731.083,0.005302613,0.2205099,41.58515
0.09802246,48,-0.058258,0.5126524,-0.1560938,0.3074576,81.01687,0.2273252,16.50844,18.29588,235.4539,0.007099057,0.2205099,31.06186
0.1135254,48,-0.058258,0.5126524,-0.1564242,0.3053303,81.32523,0.2293885,16.66261,19.9057,-758.1821,0.00925188,0.2205099,23.83407
0.1270752,48,-0.058258,0.5126524,-0.1568185,0.302687,81.70803,0.2319475,16.85402,28.05891,-1284.76,0.01192436,0.2205099,18.4924
0.1397705,48,-0.058258,0.5126524,-0.1571847,0.3001154,82.08012,0.2344322,17.04005,29.42597,576.748,0.01452195,0.2205099,15.1846
0.15271,48,-0.058258,0.5126524,-0.1575231,0.2976265,82.4399,0.2368326,17.21996,27.82037,-7470.653,0.01703375,0.2205099,12.94547
0.1673584,48,-0.058258,0.5126524,-0.1578502,0.2950997,82.80486,0.2392651,17.40244,24.90343,-8608.782,0.0195816,0.2205099,11.26108
0.1798096,48,-0.058258,0.5126524,-0.1581818,0.2923987,83.19466,0.2418604,17.59732,31.14062,-6326.145,0.0223029,0.2205099,9.887053
0.1943359,48,-0.058258,0.5126524,-0.1584219,0.2903422,83.49124,0.2438332,17.74562,20.48282,-9686.548,0.0243734,0.2205099,9.047154
0.2102051,48,-0.058258,0.5126524,-0.1586549,0.288251,83.79263,0.2458364,17.89632,18.98936,2282.384,0.02647751,0.2205099,8.328198
0.2220459,48,-0.058258,0.5126524,-0.1588651,0.2862724,84.07763,0.2477291,18.03882,24.14405,1191.309,0.02846725,0.2205099,7.746092
0.2354736,48,-0.058258,0.5126524,-0.1589918,0.2850326,84.25615,0.2489138,18.12808,13.27465,-5086.787,0.02971354,0.2205099,7.421195
0.2510986,48,-0.058258,0.5126524,-0.1591058,0.2838823,84.42174,0.2500121,18.21088,10.60825,2310.836,0.03086946,0.2205099,7.143304
0.2640381,48,-0.058258,0.5126524,-0.1592054,0.2828489,84.57043,0.2509981,18.28522,11.52296,1949.246,0.03190767,0.2205099,6.910876
0.27771,48,-0.058258,0.5126524,-0.1592626,0.2822424,84.65769,0.2515764,18.32884,6.345945,-2760.562,0.03251678,0.2205099,6.78142
0.2912598,48,-0.058258,0.5126524,-0.1592984,0.281858,84.71299,0.2519428,18.35649,4.07681,1081.221,0.03290286,0.2205099,6.701847
0.3056641,48,-0.058258,0.5126524,-0.1593097,0.2817351,84.73068,0.25206,18.36534,1.234678,-75.02388,0.03302632,0.2205099,6.676795
0.3201904,48,-0.058258,0.5126524,-0.1593097,0.2817351,84.73068,0.25206,18.36534,0,7628.134,0.03302632,0.2205099,6.676795
