TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern9,144,0.5584847,0.7590817,0.5810917,49.93148,24622.19,False,0.7608454,3538.054,23,0.0162,0.8627549,10,8
2,Pattern3,32,0.5674863,0.5878816,0.2368449,17.2878,39137.96,False,0.2205099,5727.191,15,0,0,0,0
3,Pattern4,48,0.7496929,0.528636,0.3076414,22.76266,196091.9,False,0.3253894,18579.89,30,0,0,0,0
4,Pattern8,128,0.2136977,1.522662,0.3031088,22.3083,6758.057,False,0.1157807,755.2994,22,0,0,0,0
5,Pattern10,155,0.298055,1.633958,0.348832,26.21078,6536.457,False,0.2225668,995.5934,39,0,0,0,0
6,Pattern6,96,0.9205886,0.05795471,0.361314,28.1958,23046.06,False,0.3474139,3713.589,49,0,0,0,0
7,Pattern1,5,0.5584584,0.8720599,0.1664885,12.60452,39735.32,True,0.03489552,6718.322,11,0,0,0,0
8,Pattern5,64,0.5584605,0.1993667,0.1995493,14.76908,32397.22,False,0.4239355,4772.009,13,0,0,0,0
9,Pattern7,112,0.5079882,0.5309743,0.4970731,39.86464,12122.97,False,0.6625423,2332.208,38,0,0,0,0
10,Pattern2,16,0.5584906,0.7590736,0.2232751,16.56565,11315.69,False,0.1113385,2291.943,26,0,0,0,0
