TrialNumber,PatternName,TargetJoint1,TargetJoint2,MovementTime,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,Completed
1,Pattern1,42,118,4.004753,0,746.6212,0.7466263,80,0,True
2,Pattern2,-12,24,4.001898,0,233.2968,0.233299,18,0,True
3,Pattern3,68,155,4.001375,0,804.6857,0.8046874,111.5,0,True
4,Pattern4,0,92,4.001091,0,575.4719,0.5754782,46,0,True
5,Pattern5,-22,47,4.00032,0,424.4356,0.4244383,34.5,0,True
6,Pattern6,55,103,4.001205,1.181863,0.6573139,0.40829,40.46119,Infinity,True
7,Pattern7,18,5,4.001694,1.19896,0.2105827,0.06914743,4.055675,Infinity,True
8,Pattern8,-5,129,4.002033,0.7814399,0.9248225,0.6731086,62.21473,Infinity,True
9,Pattern9,31,81,4.000923,1.624038,0.3773966,0.3157396,27.58733,Infinity,True
10,Pattern10,70,14,4.007507,1.659032,0.5521802,0.2247513,12.21032,Infinity,True
