TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern2,16,0.8514713,0.4978858,0.1156319,8.494541,0,True,0.02791958,0,29,0,0,0,0
2,Pattern4,48,0.9529822,0.2313894,0.07252253,5.276876,0,True,0.02791965,0,21,0,0,0,0
3,Pattern8,128,1.136203,0.2863831,0.08228974,5.988601,0,True,0.04883894,0,32,0,0,0,0
4,Pattern1,5,1.125539,0.4326899,0.05098128,3.666833,0,True,0.01396193,0,15,0,0,0,0
5,Pattern3,32,0.5857201,0.5555373,0.06607668,4.761929,0,True,0.01396192,0,14,0,0,0,0
6,Pattern10,155,1.115365,0.4366368,0.2510025,18.49466,0,False,0.200304,0,28,0,0,0,0
7,Pattern6,96,0.8864418,0.1256016,0.08420147,6.074742,0,False,0.06276725,0,30,0,0,0,0
8,Pattern9,144,0.7926846,0.5788699,0.1380471,9.957685,0,False,0.1251476,0,16,0,0,0,0
9,Pattern7,112,1.906848,0.1156411,0.3301652,25.91444,0,True,0.04186871,0,54,0,0,0,0
10,Pattern5,64,0.8509815,0.1308353,0.06388979,4.616883,0,False,0.05580514,0,27,0,0,0,0
