TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern3,32,0.7057887,0.4610294,0.1984542,14.50424,40071.32,False,0.2205099,7103.016,28,0,0,0,0
2,Pattern5,64,0.03627496,3.069292,0.1094999,7.86711,7914.568,False,0.1109026,980.0457,20,0,0,0,0
3,Pattern8,128,0.2692517,1.150343,0.1823889,13.30583,13559.82,False,0.05688146,2069.571,48,0,0,0,0
4,Pattern9,144,0.5617996,0.7546028,0.2679478,19.92564,20588.61,False,0.1113385,3174.798,43,0,0,0,0
5,Pattern2,16,0.4515688,0.9899732,0.3997067,30.27697,17278.88,False,0.1017711,3925.978,32,0,0,0,0
6,Pattern6,96,0.394751,0.2820475,0.08561192,6.163563,13759.36,True,0.03908979,3561.259,31,0,0,0,0
7,Pattern10,155,0.5584865,0.8720161,0.2501235,18.87259,31074.48,True,0.03489559,5088.48,34,0,0,0,0
8,Pattern7,112,0.558474,0.3948438,0.2464377,18.05076,19760.06,False,0.3253894,3255.044,25,0,0,0,0
9,Pattern1,5,0.6475963,0.752026,0.3326614,25.59042,100503.9,True,0.03489552,10132.16,45,0,0,0,0
10,Pattern4,48,0.4792379,0.4780064,0.1426325,10.40455,11946.55,True,0.01354198,3136.126,29,0,0,0,0
