TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern9,144,1.097468,0.3862851,0.3895484,30.05821,45358.79,False,0.1183679,9184.292,26,0,0,0,0
2,Pattern8,128,0.1749718,1.859667,0.2318956,16.93675,19871.46,False,0.1590631,4146.237,12,0,0,0,0
3,Pattern7,112,0.6131774,0.3637581,0.2523483,18.46747,37747.64,False,0.3253894,7965.271,19,0,0,0,0
4,Pattern3,32,0.2255014,1.442959,0.2399382,17.59748,157120.9,False,0.1188976,13828.44,8,0,0,0,0
5,Pattern2,16,0.2247444,1.886301,0.3910067,29.32343,24432.61,False,0.3385608,4546.947,16,0,0,0,0
6,Pattern6,96,0.3086377,0.3607419,0.1083595,7.787471,22082.89,False,0.1087447,3745.788,13,0,0,0,0
7,Pattern5,64,0.2043582,0.5448201,0.09923534,7.127591,29985.85,False,0.09245364,4009.589,10,0,0,0,0
8,Pattern1,5,0.5584673,0.8720461,0.2498368,19.04696,71323.48,True,0.03489552,7276.113,14,0,0,0,0
9,Pattern10,155,0.3779828,1.288443,0.3751679,28.25518,14243.97,False,0.3037906,3229.261,23,0,0,0,0
10,Pattern4,48,0.5584591,0.3948542,0.2542346,18.61184,30676.09,False,0.3253894,5648.182,10,0,0,0,0
