Timestamp,Phase,TargetShoulderPitch,TargetElbowAngle,TargetPosX,TargetPosY,TargetPosZ,ActualPosX,ActualPosY,ActualPosZ,ActualShoulderPitch,ActualElbowAngle,PositionError,JointSpaceError,ShoulderPitchVel,ElbowVel,ShoulderPitchJerk,ElbowJerk,PathLength,OptimalPathLength,PathEfficiency,EMGRawCh1,EMGRawCh2,EMGRawCh3,EMGRawCh4,EMGFilteredCh1,EMGFilteredCh2,EMGFilteredCh3,EMGFilteredCh4,EMGNormalizedCh1,EMGNormalizedCh2,EMGNormalizedCh3,EMGNormalizedCh4
0.1582184,InitialFreeze,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.2627493,0.5822208,44.1,0,0.7767176,89.05,245.233,-90.38226,0,0,0,0.7767176,776.7176,0,0,0,0,0,0,0,0,0,0,0,0
0.2622528,InitialFreeze,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.2627493,0.5822208,44.1,0,0.7767176,89.05,0,0,0,0,0,0.7767176,776.7176,0,0,0,0,0,0,0,0,0,0,0,0
0.5955887,InitialFreeze,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.2627493,0.5822208,44.1,0,0.7767176,89.05,0,0,0,0,0,0.7767176,776.7176,0,0,0,0,0,0,0,0,0,0,0,0
0.6386871,InitialFreeze,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.2627493,0.5822208,44.1,0,0.7767176,89.05,0,0,0,0,0,0.7767176,776.7176,0,0,0,0,0,0,0,0,0,0,0,0
0.7884521,InitialFreeze,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.2627493,0.5822208,44.1,0,0.7767176,89.05,0,0,0,0,0,0.7767176,776.7176,0,0,0,0,0,0,0,0,0,0,0,0
1.324364,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.5440692,0.6260229,23.6,0,0.7418419,78.8,-89.12872,0,0,0,0.2847095,0.7767176,2.728105,0,0,0,0,0,0,0,0,0,0,0,0
1.588905,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.5440692,0.6260229,23.6,0,0.7418419,78.8,0,0,0,0,0.2847095,0.7767176,2.728105,0,0,0,0,0,0,0,0,0,0,0,0
1.815735,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.6067576,0.6220239,19.1,0,0.7362481,76.55,-19.83841,0,0,0,0.3475254,0.7767176,2.234995,0,0,0,0,0,0,0,0,0,0,0,0
2.149071,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.6067576,0.6220239,19.1,0,0.7362481,76.55,0,0,0,0,0.3475254,0.7767176,2.234995,0,0,0,0,0,0,0,0,0,0,0,0
2.311592,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,-45.53317,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
2.544991,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
2.779877,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
3.000351,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
3.187935,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
3.383705,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
3.680504,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
3.868423,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
4.021744,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
4.219223,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
4.333298,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
4.416618,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
4.516602,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
4.635643,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
4.913559,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.239,0.7085633,0.6048048,11.7,0,0.7289641,72.85001,0,0,0,0,0.450777,0.7767176,1.723064,0,0,0,0,0,0,0,0,0,0,0,0
4.931465,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.2117939,0.7083502,0.6039033,11.7,3.9,0.7169353,70.90001,0,217.8515,0,0,0.4779989,0.7767176,1.624936,0,0,0,0,0,0,0,0,0,0,0,0
4.973633,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.2117939,0.7083502,0.6039033,11.7,3.9,0.7169353,70.90001,0,0,0,0,0.4779989,0.7767176,1.624936,0,0,0,0,0,0,0,0,0,0,0,0
4.987648,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.2117939,0.7083502,0.6039033,11.7,3.9,0.7169353,70.90001,0,0,0,0,0.4779989,0.7767176,1.624936,0,0,0,0,0,0,0,0,0,0,0,0
5.069763,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.2117939,0.7083502,0.6039033,11.7,3.9,0.7169353,70.90001,0,0,0,0,0.4779989,0.7767176,1.624936,0,0,0,0,0,0,0,0,0,0,0,0
5.156059,Movement,-5,129,-0.07185847,0.5986595,-0.04533121,0.2117939,0.7083502,0.6039033,11.7,3.9,0.7169353,70.90001,0,0,0,0,0.4779989,0.7767176,1.624936,0,0,0,0,0,0,0,0,0,0,0,0
