TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern2,16,0.3379506,1.248736,0.2395109,17.71652,26473.7,False,0.1062698,2813.74,39,0,0,0,0
2,Pattern1,5,0.4364021,1.108295,0.3354896,25.20977,6108.721,False,0.08277051,2048.803,55,0,0,0,0
3,Pattern10,155,0.2075618,2.346334,0.4171716,31.6048,14382.93,False,0.3083989,1839.076,36,0,0,0,0
4,Pattern5,64,0.242701,0.4587473,0.09222207,6.627393,30327.11,False,0.1304158,2981.616,34,0,0,0,0
5,Pattern9,144,0.2566932,1.652908,0.3133467,23.30947,4291.463,False,0.1887323,1198.869,24,0,0,0,0
6,Pattern4,48,0.3872506,0.5690585,0.1461594,10.55418,32441.06,False,0.1629007,3048.671,43,0,0,0,0
7,Pattern3,32,0.2361392,1.373845,0.2415617,17.67095,4797.071,False,0.1380568,1106.661,55,0,0,0,0
8,Pattern7,112,0.2282543,0.9954758,0.1257877,9.11724,26591.49,True,0.01850601,2864.192,22,0,0,0,0
9,Pattern8,128,0.4446639,0.7323088,0.1886532,13.84405,12661,True,0.04650339,2604.113,31,0,0,0,0
10,Pattern6,96,0.305407,0.364558,0.1392018,10.03685,19120.58,False,0.1851856,3324.819,25,0,0,0,0
