TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern9,144,0.2523812,1.679743,0.4701402,36.05341,14994.2,False,0.4691733,3577.187,37,0,0,0,0
2,Pattern6,96,0.4770666,0.2333815,0.2353071,17.31221,76751.8,False,0.3528158,6583.563,24,0,0,0,0
3,Pattern5,64,0.02759734,4.034391,0.1177545,8.465172,8584.955,False,0.1385956,907.2964,7,0,0,0,0
4,Pattern4,48,0.1011051,2.180998,0.1896769,13.7216,45597.53,False,0.1751248,4167.875,19,0,0,0,0
5,Pattern10,155,0.5584961,0.8720011,0.2776579,21.00313,34989.17,True,0.03489559,5740.24,32,0,0,0,0
6,Pattern7,112,0.4503333,0.4896595,0.08862136,6.409231,71315.34,True,0.007363909,6818.539,33,0,0,0,0
7,Pattern2,16,0.2421451,1.750749,0.4628449,35.40505,14263.89,False,0.5059626,3081.542,42,0,0,0,0
8,Pattern3,32,0.003154186,5.791111,0.02136159,1.530093,25756.56,True,0.02141945,2239.688,1,0,0,0,0
9,Pattern1,5,0.5587893,0.8720026,0.1552388,11.72746,29486.49,True,0.03489552,6126.337,14,0,0,0,0
10,Pattern8,128,0.4915422,0.6536029,0.4453615,34.54456,21972.87,False,0.5808859,5366.463,37,0,0,0,0
