TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern8,128,0.448426,0.7256256,0.1768249,12.89044,13195.16,False,0.1129482,3874.716,29,0,0,0,0
2,Pattern7,112,0.00932855,23.63818,0.2146233,15.56205,4939.839,False,0.211528,655.1655,7,0,0,0,0
3,Pattern6,96,0.006312071,17.63899,0.1073626,7.712592,5638.882,False,0.1050845,493.2437,3,0,0,0,0
4,Pattern5,64,0,111.3384,0.1113383,8,0,False,0.1113384,0,0,0,0,0,0
5,Pattern9,144,0,423.9355,0.4239351,32,0,False,0.4239355,0,0,0,0,0,0
6,Pattern10,155,0.3064958,1.588959,0.3271679,24.58066,23164.39,False,0.2144377,3771.65,14,0,0,0,0
7,Pattern3,32,0.5584625,0.5826522,0.232823,16.97726,19775.06,False,0.2205099,4260.786,28,0,0,0,0
8,Pattern1,5,0.5584745,0.8720348,0.2369181,18.0106,140608.9,True,0.03489552,11110.96,17,0,0,0,0
9,Pattern4,48,0.5584698,0.3948466,0.2643603,19.39282,64001.79,False,0.3253894,6861.691,17,0,0,0,0
10,Pattern2,16,0.000327042,423.9355,0.4236671,31.97731,411.6208,False,0.4236581,60.27831,0,0,0,0,0
